idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
0,20,2,18,0.877468,0.934735,0.063636,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,1,1,19,0.090909,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0
1,17,1,16,0.878676,0.93542,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0,0,1,17,0.0
2,8,4,4,0.797308,0.887224,0.366667,3,1,5,0.5,3,1,5,0.5,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333,2,2,6,0.333333
3,10,6,4,0.789952,0.882652,0.5125,6,0,4,0.75,5,1,5,0.625,5,1,5,0.625,4,2,6,0.5,4,2,6,0.5,4,2,6,0.5,4,2,6,0.5,3,3,7,0.375,3,3,7,0.375,3,3,7,0.375
4,9,4,5,0.839077,0.912498,0.338462,3,1,6,0.461538,3,1,6,0.461538,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692
5,9,5,4,0.817177,0.899392,0.5,4,1,5,0.571429,4,1,5,0.571429,4,1,5,0.571429,4,1,5,0.571429,4,1,5,0.571429,3,2,6,0.428571,3,2,6,0.428571,3,2,6,0.428571,3,2,6,0.428571,3,2,6,0.428571
6,10,5,5,0.801574,0.88986,0.4,5,0,5,0.666667,5,0,5,0.666667,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667
7,11,4,7,0.835021,0.910094,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4,3,1,8,0.4
8,17,3,14,0.872991,0.932189,0.11,2,1,15,0.2,1,2,16,0.1,1,2,16,0.1,1,2,16,0.1,1,2,16,0.1,1,2,16,0.1,1,2,16,0.1,1,2,16,0.1,1,2,16,0.1,1,2,16,0.1
9,7,5,2,0.753447,0.859389,0.55,5,0,2,0.833333,4,1,3,0.666667,3,2,4,0.5,3,2,4,0.5,3,2,4,0.5,3,2,4,0.5,3,2,4,0.5,3,2,4,0.5,3,2,4,0.5,3,2,4,0.5
10,5,5,0,0.691341,0.817507,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0
11,15,3,12,0.868908,0.929856,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222
12,15,7,8,0.815718,0.898507,0.490909,6,1,9,0.545455,6,1,9,0.545455,6,1,9,0.545455,6,1,9,0.545455,5,2,10,0.454545,5,2,10,0.454545,5,2,10,0.454545,5,2,10,0.454545,5,2,10,0.454545,5,2,10,0.454545
13,11,2,9,0.851165,0.919599,0.061538,1,1,10,0.153846,1,1,10,0.153846,1,1,10,0.153846,1,1,10,0.153846,0,2,11,0.0,0,2,11,0.0,0,2,11,0.0,0,2,11,0.0,0,2,11,0.0,0,2,11,0.0
14,12,4,8,0.853992,0.921247,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125,1,3,11,0.125
15,14,4,10,0.839356,0.912663,0.233333,3,1,11,0.333333,2,2,12,0.222222,2,2,12,0.222222,2,2,12,0.222222,2,2,12,0.222222,2,2,12,0.222222,2,2,12,0.222222,2,2,12,0.222222,2,2,12,0.222222,2,2,12,0.222222
16,12,8,4,0.781212,0.877169,0.64,8,0,4,0.8,8,0,4,0.8,7,1,5,0.7,6,2,6,0.6,6,2,6,0.6,6,2,6,0.6,6,2,6,0.6,6,2,6,0.6,6,2,6,0.6,5,3,7,0.5
17,6,4,2,0.851792,0.919965,0.62,4,0,2,0.8,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6,3,1,3,0.6
